Date;High;Low;Open;Close;Volume;Adj Close;High_lastDay;Low_lastDay;Open_lastDay;Close_lastDay;Volume_lastDay;Adj Close_lastDay
36529;11350,05957;10986,4502;11349,75;10997,92969;178420000;10997,92969;11522,00977;11305,69043;11501,84961;11357,50977;169750000;11357,50977
36530;11215,09961;10938,66992;10989,37012;11122,65039;203190000;11122,65039;11350,05957;10986,4502;11349,75;10997,92969;178420000;10997,92969
36531;11313,4502;11098,4502;11113,37012;11253,25977;176550000;11253,25977;11215,09961;10938,66992;10989,37012;11122,65039;203190000;11122,65039
36532;11528,13965;11239,91992;11247,05957;11522,55957;184900000;11522,55957;11313,4502;11098,4502;11113,37012;11253,25977;176550000;11253,25977
36535;11638,28027;11532,48047;11532,48047;11572,2002;168180000;11572,2002;11528,13965;11239,91992;11247,05957;11522,55957;184900000;11522,55957
36536;11663,09961;11502,7002;11568,46973;11511,08008;177300000;11511,08008;11638,28027;11532,48047;11532,48047;11572,2002;168180000;11572,2002
36537;11612,53027;11505,17969;11506,73047;11551,09961;194060000;11551,09961;11663,09961;11502,7002;11568,46973;11511,08008;177300000;11511,08008
36538;11656,58008;11524,11035;11558,24023;11582,42969;174910000;11582,42969;11612,53027;11505,17969;11506,73047;11551,09961;194060000;11551,09961
36539;11750,28027;11612,53027;11619,34961;11722,98047;266830000;11722,98047;11656,58008;11524,11035;11558,24023;11582,42969;174910000;11582,42969
36543;11720,12012;11546,4502;11719,19043;11560,71973;200220000;11560,71973;11750,28027;11612,53027;11619,34961;11722,98047;266830000;11722,98047
36544;11574,67969;11456,00977;11535,24023;11489,36035;193090000;11489,36035;11720,12012;11546,4502;11719,19043;11560,71973;200220000;11560,71973
36545;11558,7002;11274,98047;11490,29004;11351,2998;191230000;11351,2998;11574,67969;11456,00977;11535,24023;11489,36035;193090000;11489,36035
36546;11387,59961;11232,48047;11356,25977;11251,70996;205840000;11251,70996;11558,7002;11274,98047;11490,29004;11351,2998;191230000;11351,2998
36549;11366,5;10917,26953;11251,94043;11008,16992;202740000;11008,16992;11387,59961;11232,48047;11356,25977;11251,70996;205840000;11251,70996
36550;11079,51953;10883,4502;11010,95996;11029,88965;209230000;11029,88965;11366,5;10917,26953;11251,94043;11008,16992;202740000;11008,16992
36551;11131,03027;11002,58008;11025,84961;11032,99023;188840000;11032,99023;11079,51953;10883,4502;11010,95996;11029,88965;209230000;11029,88965
36552;11164,13965;10915,40039;11035,5498;11028,01953;194280000;11028,01953;11131,03027;11002,58008;11025,84961;11032,99023;188840000;11032,99023
36553;11024,91992;10735,76953;11024,91992;10738,87012;183090000;10738,87012;11164,13965;10915,40039;11035,5498;11028,01953;194280000;11028,01953
36556;10956,66992;10701,63965;10735,76953;10940,53027;191880000;10940,53027;11024,91992;10735,76953;11024,91992;10738,87012;183090000;10738,87012
36557;11073,32031;10907,95996;10937,74023;11041,0498;183110000;11041,0498;10956,66992;10701,63965;10735,76953;10940,53027;191880000;10940,53027
36558;11118,92969;10987,07031;11037,63965;11003,2002;164170000;11003,2002;11073,32031;10907,95996;10937,74023;11041,0498;183110000;11041,0498
36559;11079,51953;10842,25977;11010,48047;11013,44043;178630000;11013,44043;11118,92969;10987,07031;11037,63965;11003,2002;164170000;11003,2002
36560;11089,4502;10943,01953;11014,37012;10963,7998;166590000;10963,7998;11079,51953;10842,25977;11010,48047;11013,44043;178630000;11013,44043
36563;10970,94043;10846,21973;10965,96973;10905,79004;145660000;10905,79004;11089,4502;10943,01953;11014,37012;10963,7998;166590000;10963,7998
36564;11023,05957;10904,25977;10904,25977;10957,59961;168890000;10957,59961;10970,94043;10846,21973;10965,96973;10905,79004;145660000;10905,79004
36565;10948,82031;10698,84961;10948,82031;10699,16016;168550000;10699,16016;11023,05957;10904,25977;10904,25977;10957,59961;168890000;10957,59961
36566;10738,25;10606,40039;10697,91992;10643,62988;156390000;10643,62988;10948,82031;10698,84961;10948,82031;10699,16016;168550000;10699,16016
36567;10638,63965;10356,95996;10638,63965;10425,20996;193540000;10425,20996;10738,25;10606,40039;10697,91992;10643,62988;156390000;10643,62988
36570;10549;10430,7998;10431,65039;10519,83984;167240000;10519,83984;10638,63965;10356,95996;10638,63965;10425,20996;193540000;10425,20996
36571;10763,07031;10494,48047;10520,15039;10718,08984;183320000;10718,08984;10549;10430,7998;10431,65039;10519,83984;167240000;10519,83984
36572;10741,66992;10561,41016;10711,82031;10561,41016;163280000;10561,41016;10763,07031;10494,48047;10520,15039;10718,08984;183320000;10718,08984
36573;10671,86035;10454,61035;10565,75977;10514,57031;195830000;10514,57031;10741,66992;10561,41016;10711,82031;10561,41016;163280000;10561,41016
36574;10517,75;10199,98047;10514,57031;10219,51953;208930000;10219,51953;10671,86035;10454,61035;10565,75977;10514,57031;195830000;10514,57031
36578;10336,79004;10103,7998;10219,83008;10304,83984;194340000;10304,83984;10517,75;10199,98047;10514,57031;10219,51953;208930000;10219,51953
36579;10338,34961;10164,91992;10294,82031;10225,73047;185280000;10225,73047;10336,79004;10103,7998;10219,83008;10304,83984;194340000;10304,83984
36580;10248,05957;9942,780273;10242,48047;10092,62988;237540000;10092,62988;10338,34961;10164,91992;10294,82031;10225,73047;185280000;10225,73047
36581;10132,41992;9836,05957;10090,76953;9862,120117;195240000;9862,120117;10248,05957;9942,780273;10242,48047;10092,62988;237540000;10092,62988
36584;10156,54004;9842,570313;9854,660156;10038,65039;213230000;10038,65039;10132,41992;9836,05957;10090,76953;9862,120117;195240000;9862,120117
36585;10204,94043;10029,95996;10039,58008;10128,30957;191360000;10128,30957;10156,54004;9842,570313;9854,660156;10038,65039;213230000;10038,65039
36586;10186,33008;10084,55957;10128,11035;10137,92969;216780000;10137,92969;10204,94043;10029,95996;10039,58008;10128,30957;191360000;10128,30957
36587;10212,38965;10103,49023;10135,44043;10164,91992;206510000;10164,91992;10186,33008;10084,55957;10128,11035;10137,92969;216780000;10137,92969
36588;10443,51953;10171,12012;10171,12012;10367,2002;210460000;10367,2002;10212,38965;10103,49023;10135,44043;10164,91992;206510000;10164,91992
