Date;High;Low;Open;Close;Volume;Adj Close;High_lastDay;Low_lastDay;Open_lastDay;Close_lastDay;Volume_lastDay;Adj Close_lastDay
36529;1455,219971;1397,430054;1455,219971;1399,420044;1009000000;1399,420044;1478;1438,359985;1469,25;1455,219971;931800000;1455,219971
36530;1413,27002;1377,680054;1399,420044;1402,109985;1085500000;1402,109985;1455,219971;1397,430054;1455,219971;1399,420044;1009000000;1399,420044
36531;1411,900024;1392,099976;1402,109985;1403,449951;1092300000;1403,449951;1413,27002;1377,680054;1399,420044;1402,109985;1085500000;1402,109985
36532;1441,469971;1400,72998;1403,449951;1441,469971;1225200000;1441,469971;1411,900024;1392,099976;1402,109985;1403,449951;1092300000;1403,449951
36535;1464,359985;1441,469971;1441,469971;1457,599976;1064800000;1457,599976;1441,469971;1400,72998;1403,449951;1441,469971;1225200000;1441,469971
36536;1458,660034;1434,420044;1457,599976;1438,560059;1014000000;1438,560059;1464,359985;1441,469971;1441,469971;1457,599976;1064800000;1457,599976
36537;1442,599976;1427,079956;1438,560059;1432,25;974600000;1432,25;1458,660034;1434,420044;1457,599976;1438,560059;1014000000;1438,560059
36538;1454,199951;1432,25;1432,25;1449,680054;1030400000;1449,680054;1442,599976;1427,079956;1438,560059;1432,25;974600000;1432,25
36539;1473;1449,680054;1449,680054;1465,150024;1085900000;1465,150024;1454,199951;1432,25;1432,25;1449,680054;1030400000;1449,680054
36543;1465,150024;1451,300049;1465,150024;1455,140015;1056700000;1455,140015;1473;1449,680054;1449,680054;1465,150024;1085900000;1465,150024
36544;1461,390015;1448,680054;1455,140015;1455,900024;1087800000;1455,900024;1465,150024;1451,300049;1465,150024;1455,140015;1056700000;1455,140015
36545;1465,709961;1438,540039;1455,900024;1445,569946;1100700000;1445,569946;1461,390015;1448,680054;1455,140015;1455,900024;1087800000;1455,900024
36546;1453,180054;1439,599976;1445,569946;1441,359985;1209800000;1441,359985;1465,709961;1438,540039;1455,900024;1445,569946;1100700000;1445,569946
